detector_name,card,channel,beamline_index
ACT0-L,130,0,12
ACT0-R,130,1,13
ACT1-L,130,2,14
ACT1-R,130,3,15
NC,130,4,8
ACT2-L,130,5,16
ACT2-R,130,6,17
ACT3-L,130,7,18
ACT3-R,130,8,19
ACT4-L,130,9,20
ACT4-R,130,10,21
ACT5-L,130,11,22
ACT5-R,130,12,23
T1-0L,130,13,4
T1-0R,130,14,6
T1-1L,130,15,5
T1-1R,130,16,7
HC-0,130,17,9
HC-1,130,18,10
Trigger-130,130,19,-1
Trigger-131,131,0,-1
Lemo-1,131,1,-1
Lemo-2,131,2,-1
Lemo-3,131,3,-1
Lemo-4,131,4,-1
Lemo-5,131,5,-1
NC,131,6,8
Lemo-6,131,7,-1
NC,131,8,8
Laser,131,9,-1
T2,131,10,-1
T3,131,11,41
T0-0L,131,12,0
T0-0R,131,13,2
T0-1L,131,14,1
T0-1R,131,15,3
NC,131,16,8
PbG,131,17,-1
MuL,131,18,-1
MuR,131,19,-1
TOF-0,132,0,48
TOF-1,132,1,49
TOF-2,132,2,50
TOF-3,132,3,51
TOF-4,132,4,52
TOF-5,132,5,53
TOF-6,132,6,54
TOF-7,132,7,55
TOF-8,132,8,56
NC,132,9,8
TOF-9,132,10,57
TOF-A,132,11,-1
TOF-B,132,12,-1
TOF-C,132,13,-1
TOF-D,132,14,-1
TOF-E,132,15,-1
TOF-F,132,16,-1
T4-L,132,17,42
T4-R,132,18,43
Trigger-132,132,19,-1
